aXperc75,aYsd,aYperc90,aZabsmean,aZrootms,aMsd,gMsd,Label
0.891846,0.037815,-0.403198,0.044282,0.05293,0.018524,10.02369,other
0.888672,0.01016,-0.429565,0.043521,0.044331,0.007363,7.795051,other
0.885742,0.013967,-0.430054,0.051128,0.051747,0.008471,3.368866,other
0.890625,0.006214,-0.434814,0.053979,0.054254,0.007906,2.03343,other
0.890381,0.008504,-0.430054,0.04811,0.048721,0.006283,1.628373,other
0.888184,0.006464,-0.436035,0.038101,0.038314,0.005145,1.693507,other
0.89209,0.009792,-0.427002,0.044131,0.045063,0.008067,1.413692,other
0.948975,0.10788,-0.186646,0.170688,0.190805,0.02505,19.256126,other
0.976074,0.038064,-0.16272,0.171436,0.175266,0.030299,18.968911,other
0.968018,0.016897,-0.181274,0.150225,0.15094,0.015036,4.743109,other
0.965576,0.01331,-0.169556,0.169155,0.169563,0.010043,2.54239,other
0.9646,0.030064,-0.187378,0.158018,0.158608,0.022131,11.595765,other
0.969238,0.022921,-0.244629,0.167539,0.1697,0.043837,10.080218,other
0.966064,0.025207,-0.221191,0.157954,0.159253,0.023023,9.242686,other
0.963379,0.030877,-0.214478,0.202671,0.205866,0.038784,8.70454,other
0.949707,0.018396,-0.219238,0.198848,0.1992,0.012325,4.757185,other
0.94873,0.017739,-0.216675,0.205029,0.20533,0.015489,4.05294,other
0.963623,0.018753,-0.214722,0.205933,0.20676,0.02826,4.624709,other
0.952637,0.022579,-0.223877,0.196167,0.197468,0.0193,3.935483,other
0.946533,0.014298,-0.221558,0.201714,0.20179,0.006649,1.95246,other
0.949707,0.008921,-0.219849,0.199038,0.200089,0.011898,1.895184,other
0.949951,0.009075,-0.225464,0.195186,0.195348,0.007055,1.279301,other
0.954102,0.017626,-0.201782,0.200708,0.201409,0.013773,2.400055,other
0.948486,0.012911,-0.223633,0.201025,0.201258,0.007155,3.332538,other
0.949463,0.012345,-0.22644,0.200962,0.201199,0.00766,3.048195,other
0.954346,0.024041,-0.212158,0.174521,0.178924,0.01168,10.66355,other
0.955078,0.01976,-0.217773,0.160298,0.160777,0.006843,3.071793,other
